time:1742726234.6973422; distance: 7.065356319301214
time:1742726234.717921; distance: 7.065356319301214
time:1742726234.7375512; distance: 7.065356319301214
time:1742726235.6973631; distance: 7.065356424552561
time:1742726235.7174919; distance: 7.065356424552561
time:1742726235.7374475; distance: 7.065356424552561
time:1742726237.457389; distance: 7.064993930275952
time:1742726237.4773922; distance: 7.064993930275952
time:1742726240.0974529; distance: 7.064687414099815
time:1742726240.1187904; distance: 7.064687414099815
time:1742726242.837366; distance: 7.064628722174822
time:1742726242.8575237; distance: 7.064628722174822
time:1742726242.8775377; distance: 7.064628722174822
time:1742726244.737504; distance: 7.064628722174822
time:1742726251.597334; distance: 7.064628722174822
time:1742726251.6174748; distance: 7.064628722174822
time:1742726251.6374054; distance: 7.064628722174822
time:1742726252.957487; distance: 7.064628722174822
time:1742726252.9773967; distance: 7.064628722174822
time:1742726253.5973983; distance: 7.064628722174822
time:1742726253.6195161; distance: 7.064628722174822
time:1742726253.6373682; distance: 7.064628722174822
time:1742726254.0973434; distance: 7.064628722174822
time:1742726254.1174016; distance: 7.064628722174822
time:1742726260.2373574; distance: 7.064628722174822
time:1742726260.2576177; distance: 7.064628722174822
time:1742726260.2774596; distance: 7.064628722174822
time:1742726261.0973706; distance: 7.064628722174822
time:1742726261.1174455; distance: 7.064628722174822
time:1742726262.9574156; distance: 7.064628722174822
time:1742726262.977586; distance: 7.064628722174822
time:1742726263.697357; distance: 7.064628722174822
time:1742726263.7176836; distance: 7.064628722174822
time:1742726263.7374258; distance: 7.064628722174822
time:1742726274.9573677; distance: 7.064628722174822
time:1742726274.9773374; distance: 7.064628722174822
time:1742726275.0973668; distance: 7.071786626274728
time:1742726275.1175947; distance: 7.071786626274728
time:1742726275.1373715; distance: 7.071786626274728
time:1742726281.59736; distance: 7.064628722174822
time:1742726281.6196768; distance: 7.064628722174822
time:1742726281.6375015; distance: 7.064628722174822
time:1742726281.6573768; distance: 7.064628722174822
time:1742726286.4574075; distance: 7.064628722174822
time:1742726286.4774232; distance: 7.064628722174822
time:1742726289.0974164; distance: 7.064628722174822
time:1742726289.1174629; distance: 7.064628722174822
time:1742726289.1374032; distance: 7.064628722174822
time:1742726291.957378; distance: 7.071786626274728
time:1742726291.9773748; distance: 7.071786626274728
time:1742726301.4573698; distance: 7.064628722174822
time:1742726301.4774034; distance: 7.064628722174822
time:1742726304.0974152; distance: 7.064628722174822
time:1742726304.1195598; distance: 7.064628722174822
time:1742726306.5974722; distance: 7.064628722174822
time:1742726306.6175604; distance: 7.064628722174822
time:1742726307.95795; distance: 7.064628722174822
time:1742726307.97739; distance: 7.064628722174822
time:1742726308.097378; distance: 7.064628722174822
time:1742726308.1180372; distance: 7.064628722174822
time:1742726308.6973968; distance: 7.064628722174822
time:1742726308.7328374; distance: 7.064628722174822
time:1742726308.7374175; distance: 7.064628722174822
time:1742726309.097338; distance: 7.064628722174822
time:1742726309.1208513; distance: 7.064628722174822
time:1742726315.258899; distance: 7.064628722174822
time:1742726315.2773538; distance: 7.064628722174822
time:1742726315.2975957; distance: 7.064628722174822
time:1742726315.3182518; distance: 7.064628722174822
time:1742726316.4573593; distance: 7.064628722174822
time:1742726316.4790218; distance: 7.064628722174822
time:1742726316.4987423; distance: 7.064628722174822
time:1742726316.5173833; distance: 7.064628722174822
time:1742726318.097358; distance: 7.064628722174822
time:1742726318.1192956; distance: 7.064628722174822
time:1742726323.457792; distance: 7.064628722174822
time:1742726323.4773595; distance: 7.064628722174822
time:1742726323.4973955; distance: 7.064628722174822
time:1742726323.5174873; distance: 7.064628722174822
time:1742726325.9573722; distance: 7.064628722174822
time:1742726325.9780202; distance: 7.064628722174822
time:1742726327.4774482; distance: 7.064628722174822
time:1742726335.0975156; distance: 7.064199826413572
time:1742726335.1196303; distance: 7.064199826413572
time:1742726345.9573662; distance: 7.0794787718341095
time:1742726345.9774282; distance: 7.0794787718341095
time:1742726346.0973883; distance: 7.0794787718341095
time:1742726346.1174903; distance: 7.0794787718341095
time:1742726346.1383336; distance: 7.0794787718341095
time:1742726348.9573596; distance: 7.0641998180384995
time:1742726348.9774165; distance: 7.0641998180384995
time:1742726348.997423; distance: 7.0641998180384995
time:1742726349.01741; distance: 7.0641998180384995
time:1742726351.237487; distance: 7.0641998180384995
time:1742726354.9573367; distance: 7.0641998180384995
time:1742726354.9773514; distance: 7.0641998180384995
time:1742726354.997402; distance: 7.0641998180384995
time:1742726355.0175066; distance: 7.0641998180384995
time:1742726356.0976024; distance: 7.0641998180384995
time:1742726356.1202836; distance: 7.0641998180384995
time:1742726361.257594; distance: 7.0641998180384995
time:1742726361.2788851; distance: 7.0641998180384995
time:1742726365.2574544; distance: 7.0641998180384995
time:1742726365.2774189; distance: 7.0641998180384995
time:1742726372.0976703; distance: 7.0641998180384995
time:1742726372.117489; distance: 7.0641998180384995
time:1742726372.2773688; distance: 7.0641998180384995
time:1742726372.297461; distance: 7.0641998180384995
time:1742726372.317696; distance: 7.0641998180384995
time:1742726374.957373; distance: 7.077965708949503
time:1742726374.9788172; distance: 7.077965708949503
time:1742726376.0977445; distance: 7.077795703420663
time:1742726376.1175375; distance: 7.077795703420663
time:1742726381.4773932; distance: 7.077239378453592
time:1742726383.477394; distance: 7.0772393792119805
time:1742726387.5973854; distance: 7.0772393792119805
time:1742726387.620378; distance: 7.0772393792119805
time:1742726387.6375751; distance: 7.0772393792119805
time:1742726387.6574473; distance: 7.0772393792119805
time:1742726388.2374914; distance: 7.061961957570545
time:1742726401.4573607; distance: 7.061961957570545
time:1742726401.4773724; distance: 7.061961957570545
time:1742726414.8373182; distance: 7.061961957570545
time:1742726414.857366; distance: 7.061961957570545
time:1742726418.2373765; distance: 7.061961957570545
time:1742726420.8373568; distance: 7.061961957570545
time:1742726422.8374124; distance: 7.061961957570545
time:1742726425.597384; distance: 7.061961957570545
time:1742726425.6174612; distance: 7.061961957570545
time:1742726430.2374032; distance: 7.061961957570545
time:1742726430.2573977; distance: 7.061961957570545
time:1742726430.2773414; distance: 7.061961957570545
time:1742726439.5974548; distance: 7.0772393792119805
time:1742726439.6177177; distance: 7.0772393792119805
time:1742726439.6375895; distance: 7.0772393792119805
time:1742726447.4573567; distance: 7.061961957570545
time:1742726447.4774132; distance: 7.061961957570545
time:1742726447.4980416; distance: 7.061961957570545
time:1742726451.5974083; distance: 7.061961957570545
